epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.33,1.6072,1.93103,1.37972,0.72574,0.71018,0.71827,0.39605,1.47811,1.01705,1.25119,0.000302646,0.000302646,0.000302646
2,310.548,1.39749,1.08849,1.22519,0.78565,0.77205,0.78482,0.43724,1.41605,0.86998,1.22507,0.000593654,0.000593654,0.000593654
3,451.144,1.35727,0.93975,1.20181,0.79947,0.8166,0.8025,0.47515,1.29282,0.78191,1.16577,0.000872663,0.000872663,0.000872663
4,589.685,1.30693,0.86118,1.18097,0.7936,0.81582,0.79955,0.47977,1.26419,0.75468,1.15688,0.000855005,0.000855005,0.000855005
5,728.464,1.27201,0.80195,1.16323,0.81825,0.83244,0.82136,0.50281,1.23073,0.70283,1.13817,0.000837007,0.000837007,0.000837007
6,867.596,1.23685,0.75491,1.141,0.82374,0.8399,0.83461,0.52917,1.18423,0.6619,1.11095,0.000819009,0.000819009,0.000819009
7,1007.32,1.18904,0.7212,1.12316,0.82581,0.85658,0.83365,0.52746,1.18455,0.65417,1.10271,0.000801011,0.000801011,0.000801011
8,1146.52,1.17595,0.70065,1.11929,0.82506,0.85189,0.83554,0.53771,1.13372,0.64359,1.08858,0.000783013,0.000783013,0.000783013
9,1284.84,1.15747,0.68247,1.11089,0.83544,0.85736,0.84023,0.54978,1.11792,0.61813,1.07235,0.000765014,0.000765014,0.000765014
10,1422.58,1.1315,0.66412,1.09966,0.83178,0.8723,0.8491,0.55462,1.11756,0.60408,1.07442,0.000747016,0.000747016,0.000747016
11,1561.57,1.12496,0.65331,1.09651,0.8382,0.86285,0.84649,0.562,1.09246,0.60539,1.06362,0.000729018,0.000729018,0.000729018
12,1700.32,1.11962,0.64342,1.09059,0.83935,0.86628,0.84088,0.56776,1.06366,0.59783,1.05212,0.00071102,0.00071102,0.00071102
13,1838.8,1.09594,0.6237,1.08241,0.84065,0.86793,0.84782,0.57295,1.07137,0.57607,1.05481,0.000693022,0.000693022,0.000693022
14,1976.9,1.08059,0.61818,1.07165,0.83374,0.86861,0.85411,0.57882,1.04422,0.57041,1.04417,0.000675023,0.000675023,0.000675023
15,2115.61,1.06845,0.60629,1.07201,0.8458,0.87657,0.85365,0.57927,1.05278,0.56306,1.04735,0.000657025,0.000657025,0.000657025
16,2254.17,1.04832,0.59148,1.06361,0.83995,0.87815,0.85175,0.59323,1.01089,0.55783,1.03157,0.000639027,0.000639027,0.000639027
17,2393.75,1.04485,0.58733,1.05957,0.84637,0.86594,0.85015,0.58422,1.01017,0.55702,1.03475,0.000621029,0.000621029,0.000621029
18,2531.79,1.03119,0.58214,1.05632,0.85057,0.87848,0.85854,0.59707,1.00252,0.55292,1.02519,0.000603031,0.000603031,0.000603031
19,2670.39,1.02536,0.57435,1.05375,0.84675,0.87699,0.85389,0.59398,0.99827,0.54486,1.02694,0.000585032,0.000585032,0.000585032
